sp,mid,ask_5,ask_4,ask_3,ask_2,ask_1,bid_1,bid_2,bid_3,bid_4,bid_5
0.63,98.705,1,1,1,1,1,1,1,1,1,1
0.69,98.735,0,0,0,1,1,1,1,1,1,1
0.64,98.81,1,1,1,1,1,1,1,1,1,0
0.68,98.83,0,0,0,1,1,1,1,1,1,1
0.62,98.86,1,1,1,1,1,1,1,1,1,1
0.62,98.88,1,1,1,1,1,1,1,1,1,1
0.68,98.85,0,0,0,0,1,1,0,0,0,0
0.66,98.84,0,0,1,1,1,1,1,1,1,1
99.17,49.585,1,1,1,1,1,0,0,0,0,0
0.7,98.73,1,1,1,1,1,1,0,0,0,0
0.62,98.69,1,1,1,1,1,1,1,1,1,1
0.63,98.725,1,1,1,1,1,1,1,1,1,1
0.64,98.72,1,1,1,1,1,1,1,1,1,0
0.62,98.71,1,1,1,1,1,1,1,1,1,1
0.64,98.72,0,1,1,1,1,1,1,1,1,1
0.64,98.72,1,1,1,1,1,1,1,1,1,0
0.62,98.71,1,1,1,1,1,1,1,1,1,1
0.63,98.745,1,1,1,1,1,1,1,1,1,1
0.62,98.69,1,1,1,1,1,1,1,1,1,1
0.63,98.785,1,1,1,1,1,1,1,1,1,1
0.0,0.0,0,0,0,0,0,0,0,0,0,0
0.66,98.9,0,0,1,1,1,1,1,1,1,1
0.62,98.92,1,1,1,1,1,1,1,1,1,1
-98.61,49.305,0,0,0,0,0,1,1,1,1,1
0.62,99.02,1,1,1,1,1,1,1,1,1,1
0.7,99.06,0,0,0,0,1,1,1,1,1,1
0.68,99.07,1,1,1,1,1,1,1,0,0,0
0.7,99.0,1,1,1,1,1,1,0,0,0,0
0.62,98.96,1,1,1,1,1,1,1,1,1,1
0.62,98.94,1,1,1,1,1,1,1,1,1,1
0.63,98.845,1,1,1,1,1,1,1,1,1,1
0.63,98.925,0,0,1,1,1,1,1,1,1,1
0.69,98.895,0,0,0,1,1,1,1,0,0,0
0.67,98.885,0,0,1,1,1,1,1,1,1,1
0.63,98.905,1,1,1,1,1,1,1,1,1,1
0.65,98.915,0,1,1,1,1,1,1,1,1,1
0.69,98.895,1,1,1,1,1,1,1,0,0,0
0.69,98.835,1,1,1,1,1,1,1,0,0,0
0.68,98.78,1,1,1,1,1,1,1,0,0,0
0.68,98.72,1,1,1,1,1,1,1,0,0,0
0.62,98.69,1,1,1,1,1,1,1,1,1,1
0.62,98.63,1,1,1,1,1,1,1,1,1,1
0.62,98.59,0,0,1,1,1,1,1,1,1,1
0.68,98.56,0,0,0,1,1,1,1,0,0,0
98.84,49.42,1,1,1,1,1,0,0,0,0,0
0.65,98.415,1,1,1,1,1,1,1,1,0,0
0.62,98.4,1,1,1,1,1,1,1,1,1,1
0.68,98.37,1,1,1,1,1,1,1,0,0,0
0.66,98.36,0,0,1,1,1,1,1,1,1,1
0.69,98.415,0,0,0,0,1,1,1,1,1,1
0.69,98.415,1,1,1,1,1,1,0,0,0,0
0.62,98.38,1,1,1,1,1,1,1,1,1,1
0.62,98.3,1,1,1,1,1,1,1,1,1,1
0.62,98.28,1,1,1,1,1,1,1,1,1,1
0.62,98.38,1,1,1,1,1,1,1,1,1,1
-98.07,49.035,0,0,0,0,0,1,1,0,0,0
0.66,98.47,0,0,0,1,1,1,1,1,1,1
0.64,98.46,1,1,1,1,1,1,1,1,1,0
0.62,98.45,1,1,1,1,1,1,1,1,1,1
-98.14,49.07,0,0,0,0,0,1,1,1,1,1
0.62,98.55,1,1,1,1,1,1,1,1,1,1
0.64,98.56,0,1,1,1,1,1,1,1,1,1
-98.26,49.13,0,0,0,0,0,1,1,1,1,1
0.68,98.64,1,1,1,1,1,1,1,0,0,0
0.62,98.61,1,1,1,1,1,1,1,1,1,1
0.66,98.59,1,1,1,1,1,1,1,1,0,0
98.92,49.46,0,0,0,1,1,0,0,0,0,0
0.64,98.56,1,1,1,1,1,1,1,1,1,0
0.64,98.56,1,1,1,1,1,1,1,1,1,0
0.64,98.56,0,0,1,1,1,1,1,1,1,0
